directory,filename,title,file_type,full_path
/media/zappatistas20/Elements/Thesis/Data/films/Avengers Infinity War (2018) [WEBRip] [1080p] [YTS.AM],Avengers.Infinity.War.2018.1080p.WEBRip.x264-[YTS.AM].mp4,avengers infinity war 2018 web rip am,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Avengers Infinity War (2018) [WEBRip] [1080p] [YTS.AM]/Avengers.Infinity.War.2018.1080p.WEBRip.x264-[YTS.AM].mp4
/media/zappatistas20/Elements/Thesis/Data/films/Back to the Future Part 2 (1989) [1080p],Back.to.the.Future.Part.2.1989.1080p.Brrip.x264.Deceit.YIFY.mp4,back to the future part 2 1989 deceit yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Back to the Future Part 2 (1989) [1080p]/Back.to.the.Future.Part.2.1989.1080p.Brrip.x264.Deceit.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E01.720p.WEB.h264-TBS[ettv],barry.s01e01.720p.web.h264-tbs[ettv].mkv,barry s01e01 web h264 tbs ettv,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E01.720p.WEB.h264-TBS[ettv]/barry.s01e01.720p.web.h264-tbs[ettv].mkv
/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E02.WEB.H264-DEFLATE[ettv],Barry.S01E02.WEB.H264-DEFLATE[ettv].mkv,barry s01e02 web h264 deflate ettv,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E02.WEB.H264-DEFLATE[ettv]/Barry.S01E02.WEB.H264-DEFLATE[ettv].mkv
/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E03.720p.WEB.H264-DEFLATE[ettv],Barry.S01E03.720p.WEB.H264-DEFLATE[ettv].mkv,barry s01e03 web h264 deflate ettv,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E03.720p.WEB.H264-DEFLATE[ettv]/Barry.S01E03.720p.WEB.H264-DEFLATE[ettv].mkv
/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E04.720p.WEB.H264-DEFLATE[ettv],Barry.S01E04.720p.WEB.H264-DEFLATE[ettv].mkv,barry s01e04 web h264 deflate ettv,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E04.720p.WEB.H264-DEFLATE[ettv]/Barry.S01E04.720p.WEB.H264-DEFLATE[ettv].mkv
/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E05.720p.WEB.H264-DEFLATE[ettv],Barry.S01E05.720p.WEB.H264-DEFLATE[ettv].mkv,barry s01e05 web h264 deflate ettv,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E05.720p.WEB.H264-DEFLATE[ettv]/Barry.S01E05.720p.WEB.H264-DEFLATE[ettv].mkv
/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E06.720p.WEB.H264-DEFLATE[ettv],Barry.S01E06.720p.WEB.H264-DEFLATE[ettv].mkv,barry s01e06 web h264 deflate ettv,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E06.720p.WEB.H264-DEFLATE[ettv]/Barry.S01E06.720p.WEB.H264-DEFLATE[ettv].mkv
/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E07.720p.WEB.H264-DEFLATE[ettv],Barry.S01E07.720p.WEB.H264-DEFLATE[ettv].mkv,barry s01e07 web h264 deflate ettv,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E07.720p.WEB.H264-DEFLATE[ettv]/Barry.S01E07.720p.WEB.H264-DEFLATE[ettv].mkv
/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E08.WEB.H264-DEFLATE[ettv],Barry.S01E08.WEB.H264-DEFLATE[ettv].mkv,barry s01e08 web h264 deflate ettv,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 1/Barry.S01E08.WEB.H264-DEFLATE[ettv]/Barry.S01E08.WEB.H264-DEFLATE[ettv].mkv
/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 2/Barry.S02E01.WEBRip.x264-SHiTSPREAD[ettv],Barry.S02E01.WEBRip.x264-SHiTSPREAD[ettv].mp4,barry s02e01 web rip s hi tspread ettv,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Barry/Season 2/Barry.S02E01.WEBRip.x264-SHiTSPREAD[ettv]/Barry.S02E01.WEBRip.x264-SHiTSPREAD[ettv].mp4
/media/zappatistas20/Elements/Thesis/Data/films/Before Sunrise.1995.DVDRip.x264-VLiS,Before Sunrise.1995.DVDRip.x264-VLiS.mkv,before sunrise 1995 dvd rip v li s,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Before Sunrise.1995.DVDRip.x264-VLiS/Before Sunrise.1995.DVDRip.x264-VLiS.mkv
/media/zappatistas20/Elements/Thesis/Data/films/Captain America - The First Avenger (2011),Captain.America.The.First.Avenger.1080p.BrRip.x264.YIFY.mp4,captain america the first avenger br rip yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Captain America - The First Avenger (2011)/Captain.America.The.First.Avenger.1080p.BrRip.x264.YIFY.mp4
